benchmark,repetitions,avg-time,median-time,stdev,times
adv-sycl,10,1555958000.0,1568800000.0,15117472.451879427,"[1540360000.0,1542000000.0,1541490000.0,1541420000.0,1569230000.0,1571690000.0,1543070000.0,1568800000.0,1572370000.0,1569150000.0]"
wsm5-sycl,10,11.9849018,11.991505,0.021577417515129642,"[11.96965,11.991505,12.005751,11.972621,11.997936,11.94088,12.009372,11.969156,12.00396,11.988187]"
laplace-sycl,10,13.6805633,13.698262,0.5793140518985554,"[13.416181,12.574343,13.744349,13.877636,14.478652,13.698262,14.609028,13.565863,13.555481,13.285838]"
heat2d-sycl,10,0.0010000000000000002,0.001,0.0,"[0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001]"
d3q19-bgk-sycl,10,14.153590000000003,14.1547,0.005922921576383956,"[14.1422,14.1586,14.1477,14.1626,14.1506,14.1547,14.1547,14.1547,14.1513,14.1588]"
lid-driven-cavity-sycl,10,24.12592,24.135736,0.20011315324641232,"[23.765909,24.124718,24.397213,24.334759,23.858276,24.192205,24.292284,24.027134,24.135736,24.130966]"
burger-sycl,10,0.6888882000000001,0.689218,0.0024069542672108387,"[0.686709,0.687007,0.690408,0.694011,0.690315,0.686829,0.687551,0.686589,0.690245,0.689218]"
sph-sycl,10,6.8833394,6.884685,0.015978482497826203,"[6.87514,6.862524,6.905833,6.908941,6.886879,6.893521,6.880337,6.884685,6.871222,6.864312]"
laplace3d-sycl,10,0.3300311,0.330137,0.0006615376784431916,"[0.330038,0.330963,0.329342,0.329526,0.330977,0.329076,0.330447,0.3303,0.329505,0.330137]"
d2q9-bgk-sycl,10,1.3778468000000001,1.377378,0.006578163384343049,"[1.37375,1.372626,1.369497,1.379477,1.393226,1.377715,1.377378,1.382991,1.376968,1.37484]"
miniWeather-sycl,10,0,0,0,"[0,0,0,0,0,0,0,0,0,0]"
