benchmark,repetitions,avg-time,median-time,stdev,times
adv-sycl,10,1052314000.0,1052340000.0,644518.7696603136,"[1052340000.0,1051660000.0,1051800000.0,1051950000.0,1052770000.0,1052720000.0,1052280000.0,1053360000.0,1052960000.0,1051300000.0]"
heat2d-sycl,10,0.0010000000000000002,0.001,0.0,"[0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001]"
sph-sycl,10,6.375536100000001,6.375759,0.00393060556403198,"[6.368608,6.374628,6.371908,6.377405,6.376898,6.381037,6.375509,6.372435,6.381174,6.375759]"
wsm5-sycl,10,10.314487699999999,10.317316,0.012517632533084574,"[10.301527,10.306296,10.300517,10.326911,10.313884,10.324931,10.317316,10.334115,10.297923,10.321457]"
lid-driven-cavity-sycl,10,26.1866892,25.296457,1.5997454097855555,"[28.178413,25.296457,25.284233,25.06547,25.111219,25.440573,25.122271,28.438763,25.084223,28.84527]"
d2q9-bgk-sycl,10,1.3841310999999998,1.384819,0.002138829454008299,"[1.382943,1.386122,1.385096,1.386266,1.383912,1.378917,1.385264,1.384784,1.384819,1.383188]"
laplace3d-sycl,10,0.3313363000000001,0.331421,0.0003759385440319884,"[0.331902,0.331142,0.331803,0.331074,0.331525,0.330725,0.331263,0.331564,0.330944,0.331421]"
laplace-sycl,10,21.7102126,22.236534,2.0361790579613235,"[16.463806,20.86747,23.581138,23.546832,22.236534,21.961948,22.698998,21.597344,22.626365,21.521691]"
burger-sycl,10,0.6513955,0.651723,0.0040022149770123925,"[0.660845,0.65228,0.651723,0.649077,0.644925,0.650602,0.652586,0.650381,0.651966,0.64957]"
d3q19-bgk-sycl,10,14.048599999999999,14.048,0.006068864070904223,"[14.0376,14.0436,14.0442,14.048,14.0471,14.0556,14.0559,14.0563,14.0498,14.0479]"
miniWeather-sycl,10,0,0,0,"[0,0,0,0,0,0,0,0,0,0]"
