benchmark,repetitions,avg-time,median-time,stdev,times
burger-omp,10,0.6463456999999999,0.647117,0.002004584359800205,"[0.645298,0.647862,0.648391,0.645812,0.643363,0.643651,0.644945,0.647117,0.648845,0.648173]"
heat2d-omp,10,0.0010000000000000002,0.001,0.0,"[0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001]"
d2q9-bgk-omp,10,1.9672181000000002,1.965491,0.01330841994503231,"[1.96238,1.967454,1.965491,1.953516,1.961314,1.950217,1.982706,1.957361,1.982477,1.989265]"
laplace-omp,10,26.221805700000004,27.177729,2.1769338962123896,"[26.265373,20.228135,27.499078,27.444158,27.177729,25.951636,26.236069,26.893277,27.281981,27.240621]"
laplace3d-omp,10,0.2133439,0.213342,4.504923232790253e-05,"[0.213337,0.213357,0.213411,0.213283,0.213346,0.213342,0.213424,0.213302,0.213305,0.213332]"
lid-driven-cavity-omp,10,43.23283680000001,44.089027,1.7445643348739468,"[39.516598,44.134876,44.003387,44.089027,44.255032,40.469967,43.650055,44.500263,43.531532,44.177631]"
sph-omp,10,5.0301138,5.037341,0.02300984679460308,"[5.038058,5.037178,5.042355,5.036838,5.037409,5.037341,5.037225,4.964985,5.03751,5.032239]"
adv-omp,10,68008080.0,68005100.0,23893.31845237632,"[68054800.0,67992700.0,68005100.0,68033600.0,67987300.0,68013800.0,68027600.0,67985900.0,67995800.0,67984200.0]"
wsm5-omp,10,9.8592575,9.856306,0.0099968819944575,"[9.856306,9.86695,9.8737,9.844177,9.851555,9.867768,9.853995,9.871805,9.851696,9.854623]"
miniWeather-omp,10,0,0,0,"[0,0,0,0,0,0,0,0,0,0]"
d3q19-bgk-omp,10,0,0,0,"[0,0,0,0,0,0,0,0,0,0]"
