benchmark,repetitions,avg-time,median-time,stdev,times
miniWeather-hip,10,0.1935383,0.194225,0.0013297070730051784,"[0.191951,0.195074,0.194966,0.191892,0.194277,0.194225,0.192184,0.194496,0.194215,0.192103]"
sph-hip,10,3.9421446,3.942055,0.0025984947865168714,"[3.936646,3.946986,3.941872,3.942637,3.940816,3.942112,3.941989,3.942055,3.941964,3.944369]"
d3q19-bgk-hip,10,29.550330000000002,29.6121,0.08126103412255295,"[29.6352,29.6428,29.4833,29.6291,29.6144,29.4658,29.4705,29.4649,29.4852,29.6121]"
adv-hip,10,54415200.0,54428000.0,41981.15979552944,"[54318800.0,54375900.0,54434400.0,54462500.0,54450200.0,54428000.0,54417000.0,54418900.0,54402100.0,54444200.0]"
wsm5-hip,10,3.2920566,3.291594,0.004285991657585055,"[3.289304,3.291594,3.286878,3.297186,3.287243,3.288631,3.298836,3.294857,3.29565,3.290387]"
heat2d-hip,10,0.0010000000000000002,0.001,0.0,"[0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001]"
laplace-hip,10,17.114793000000002,17.205991,0.357995215296704,"[17.101263,16.698651,16.790029,17.923691,17.018613,17.240534,17.248857,17.205991,17.20624,16.714061]"
d2q9-bgk-hip,10,0.9237626999999999,0.930498,0.00909906495867692,"[0.918775,0.907603,0.932897,0.930498,0.913628,0.930779,0.933292,0.93095,0.918795,0.92041]"
burger-hip,10,1.7136740000000004,1.713858,0.00043596559497283415,"[1.713162,1.713008,1.713166,1.714163,1.714263,1.713683,1.713601,1.713953,1.713883,1.713858]"
lid-driven-cavity-hip,10,18.4703183,18.213497,0.4854275883418083,"[18.113325,18.190773,18.129255,18.213497,19.214609,19.107864,18.162544,19.191011,18.216099,18.164206]"
laplace3d-hip,10,0.41075680000000003,0.410968,0.0004563158750008453,"[0.411075,0.410555,0.410994,0.409676,0.411214,0.410968,0.41109,0.410451,0.410616,0.410929]"
