benchmark,repetitions,avg-time,median-time,stdev,times
burger-omp,10,2.4688306,2.526836,0.09420135614522755,"[2.55023,2.405289,2.276472,2.504026,2.400218,2.536674,2.393591,2.558711,2.536259,2.526836]"
laplace3d-omp,10,1.0826449,1.188596,0.15876479595262227,"[1.193877,0.817101,1.146365,1.201116,0.80367,1.033377,1.215115,1.20001,1.188596,1.027222]"
adv-omp,10,32172860.0,33545800.0,3032822.525561882,"[35051800.0,27920900.0,31440200.0,33545800.0,26785200.0,30850400.0,34864300.0,31695100.0,35805500.0,33769400.0]"
miniWeather-omp,10,1.8522548,1.857415,0.13141627903624933,"[1.930968,1.689606,1.990255,1.777335,1.689741,1.795546,2.060204,1.97724,1.857415,1.754238]"
wsm5-omp,10,5.834664500000001,5.739807,0.21521335315152312,"[5.673375,5.727644,5.676335,5.685559,5.826797,5.739807,5.717589,5.860479,6.298292,6.140768]"
laplace-omp,10,214.80228619999997,214.732542,1.8664933034910285,"[216.96502,211.975338,214.730061,212.764049,213.666729,213.84896,215.80721,214.732542,215.425516,218.107437]"
d2q9-bgk-omp,10,5.429692800000001,5.473091,0.4849001580744456,"[5.606641,5.993993,5.987228,4.764568,5.426538,5.030962,4.807237,5.473091,5.153592,6.053078]"
sph-omp,10,7.563252600000001,7.670231,0.32824432256279956,"[8.147137,7.670231,7.566344,7.683686,7.855912,7.752374,7.304693,7.407399,7.149888,7.094862]"
heat2d-omp,10,0.0022000000000000006,0.002,0.00042163702135578394,"[0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002]"
lid-driven-cavity-omp,10,0,0,0,"[0,0,0,0,0,0,0,0,0,0]"
d3q19-bgk-omp,10,0,0,0,"[0,0,0,0,0,0,0,0,0,0]"
