benchmark,repetitions,avg-time,median-time,stdev,times
d2q9-bgk-sycl,10,1.5725841,1.611172,0.13821019700317178,"[1.447271,1.654367,1.657813,1.792652,1.611172,1.452322,1.450623,1.451797,1.451508,1.756316]"
sph-sycl,10,3.6742396999999998,3.673916,0.002762701497930345,"[3.669584,3.674861,3.673239,3.673691,3.673916,3.674485,3.680926,3.673768,3.673761,3.674166]"
adv-sycl,10,4131017000.0,4131510000.0,1859002.4206546908,"[4126640000.0,4129300000.0,4131230000.0,4131510000.0,4131280000.0,4131620000.0,4132420000.0,4130870000.0,4133340000.0,4131960000.0]"
laplace-sycl,10,21.4418414,21.783127,0.5168438753211008,"[20.947837,21.935029,20.942397,21.995596,20.940054,21.007603,20.945469,22.058741,21.862561,21.783127]"
miniWeather-sycl,10,5.804593,6.352771,0.36370096663494655,"[6.292793,6.362115,6.32327,6.352771,6.242959,6.375083,6.365322,6.318618,7.412999]"
lid-driven-cavity-sycl,10,33.2806333,31.242369,5.298592825125639,"[33.880074,30.37517,48.000332,31.242369,31.645279,33.548161,31.093336,31.106697,30.966434,30.948481]"
burger-sycl,10,1.8131348000000003,1.813524,0.0010746504134420435,"[1.810619,1.81244,1.812404,1.813042,1.813524,1.813992,1.813949,1.813486,1.814105,1.813787]"
wsm5-sycl,10,4.4073180999999995,4.412682,0.011060004093328453,"[4.391523,4.415157,4.413479,4.403459,4.411167,4.405952,4.420301,4.412682,4.414013,4.385448]"
laplace3d-sycl,10,0.41296790000000005,0.413173,0.00047076662064244115,"[0.413173,0.412758,0.41329,0.413361,0.413448,0.411976,0.412882,0.413247,0.412402,0.413142]"
heat2d-sycl,10,0.0010000000000000002,0.001,0.0,"[0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001]"
d3q19-bgk-sycl,10,52.622370000000004,52.7792,2.150229134585944,"[52.2992,54.3793,56.2919,50.0009,54.4203,53.5144,51.7299,52.7792,51.7069,49.1017]"
