benchmark,repetitions,avg-time,median-time,stdev,times
sph-cuda,10,3.958900299999999,3.956843,0.007105235816713753,"[3.979077,3.956979,3.956753,3.957552,3.956038,3.956638,3.956086,3.956843,3.956112,3.956925]"
burger-cuda,10,0.5990591999999999,0.598716,0.0021461575897403218,"[0.605081,0.598088,0.598011,0.59806,0.598036,0.59817,0.59876,0.59889,0.59878,0.598716]"
lid-driven-cavity-cuda,10,12.8587521,12.763095,0.30320074156514776,"[13.16519,12.584858,12.534655,12.650582,12.835567,13.345151,12.640639,13.312179,12.763095,12.755605]"
laplace-cuda,10,84.719202,84.344863,0.9716894457499174,"[84.091062,84.077853,84.051908,86.647225,86.364655,84.710849,84.174561,84.344863,84.106417,84.622627]"
d3q19-bgk-cuda,10,11.535540000000001,11.5351,0.0021077634275855394,"[11.5335,11.5342,11.5358,11.5383,11.5346,11.5401,11.5351,11.5352,11.5351,11.5335]"
miniWeather-cuda,10,0.1630023,0.162937,0.0005401512236813352,"[0.163388,0.162737,0.162673,0.162567,0.162937,0.162937,0.164322,0.162868,0.163155,0.162439]"
wsm5-cuda,10,2.3722991,2.324686,0.10249192031727297,"[2.326156,2.564985,2.322476,2.568487,2.322954,2.324686,2.325153,2.323559,2.323948,2.320587]"
laplace3d-cuda,10,0.2191856,0.218981,0.0015206979537918325,"[0.221255,0.218981,0.220565,0.218338,0.221127,0.217056,0.217867,0.218394,0.2204,0.217873]"
d2q9-bgk-cuda,10,0.5807850999999999,0.57522,0.011266519638587017,"[0.573611,0.573501,0.573849,0.57522,0.574947,0.598179,0.604249,0.575093,0.575334,0.583868]"
heat2d-cuda,10,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
adv-cuda,10,11931790.0,11915700.0,51996.206058177406,"[12079600.0,11914900.0,11919300.0,11918700.0,11913500.0,11911900.0,11915700.0,11917700.0,11913900.0,11912700.0]"
