benchmark,repetitions,avg-time,median-time,stdev,times
laplace-omp,10,43.5830653,44.521356,1.7584703706884974,"[42.107362,41.250353,44.297776,45.562476,40.225681,43.860163,44.580493,44.655296,44.769697,44.521356]"
burger-omp,10,0.5955626999999999,0.59487,0.0009619249277707175,"[0.594834,0.596668,0.594799,0.594788,0.59487,0.594837,0.596843,0.596893,0.596246,0.594849]"
adv-omp,10,17229450.0,17230100.0,7116.217784438272,"[17239600.0,17231900.0,17219900.0,17229500.0,17224900.0,17241000.0,17220700.0,17230100.0,17231800.0,17225100.0]"
wsm5-omp,10,4.9979506,5.086283,0.16415711905854108,"[4.783866,5.148601,5.144673,4.899829,5.086283,5.130332,4.773618,5.069974,4.797139,5.145191]"
laplace3d-omp,10,0.2916442,0.291653,3.957777153908722e-05,"[0.291695,0.291602,0.291599,0.291653,0.291629,0.291608,0.291691,0.291657,0.291612,0.291696]"
heat2d-omp,10,0.0010000000000000002,0.001,0.0,"[0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001]"
miniWeather-omp,10,0.2328713,0.233272,0.0016934106970516308,"[0.23477,0.230257,0.23328,0.235236,0.233872,0.232359,0.233241,0.230084,0.233272,0.232342]"
d2q9-bgk-omp,10,7.4622519,7.47065,0.02527457349217025,"[7.430319,7.417872,7.435344,7.466013,7.479019,7.46769,7.489056,7.48763,7.47065,7.478926]"
sph-omp,10,2.5849013999999997,2.585143,0.000496952982350124,"[2.584131,2.584104,2.585407,2.585143,2.584729,2.584653,2.584841,2.585421,2.585228,2.585357]"
d3q19-bgk-omp,10,0,0,0,"[0,0,0,0,0,0,0,0,0,0]"
lid-driven-cavity-omp,10,0,0,0,"[0,0,0,0,0,0,0,0,0,0]"
