benchmark,repetitions,avg-time,median-time,stdev,times
lid-driven-cavity-sycl,10,16.9839055,16.953249,0.21690710705750432,"[17.306927,17.235462,16.953249,16.848057,17.244011,17.007212,16.949047,16.856188,16.793013,16.645889]"
d3q19-bgk-sycl,10,28.271569999999997,28.2702,0.00545467179988409,"[28.2674,28.2736,28.2787,28.2674,28.2774,28.2677,28.2693,28.2642,28.2702,28.2798]"
burger-sycl,10,0.5908129000000001,0.590778,0.00016396168251557765,"[0.590878,0.590656,0.590751,0.590741,0.590818,0.5907,0.590778,0.590914,0.590678,0.591215]"
wsm5-sycl,10,2.4650545,2.589173,0.24838377617185245,"[2.197631,2.200608,2.901951,2.590976,2.603719,2.589173,2.602049,2.197746,2.568901,2.197791]"
sph-sycl,10,3.4807647000000004,3.480561,0.0005102674788775062,"[3.480561,3.480428,3.481394,3.480874,3.480201,3.481563,3.480505,3.480319,3.48039,3.481412]"
laplace-sycl,10,38.23162789999999,38.16083,0.9335651562701198,"[37.163753,39.207812,38.628943,37.809565,37.493539,37.486541,38.328602,37.780929,40.255765,38.16083]"
adv-sycl,10,690565100.0,690615000.0,239965.02059906797,"[690615000.0,690993000.0,690194000.0,690773000.0,690514000.0,690561000.0,690624000.0,690732000.0,690317000.0,690328000.0]"
heat2d-sycl,10,0.0,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]"
d2q9-bgk-sycl,10,0.9385104999999999,0.938872,0.011397781589707123,"[0.940259,0.959175,0.919161,0.938872,0.925565,0.947078,0.947722,0.932596,0.93663,0.938047]"
laplace3d-sycl,10,0.20820280000000002,0.208578,0.0016006191024447725,"[0.206064,0.207189,0.209817,0.210144,0.2072,0.210125,0.206606,0.20951,0.206795,0.208578]"
miniWeather-sycl,10,0,0,0,"[0,0,0,0,0,0,0,0,0,0]"
